family,instance,n,m,config,repeat,seed,classes_1wl,classes_pi,class_size_max,class_size_mean,colouring_ms,variables,clauses_bijection,clauses_edge,clauses_implied,anchors_k,dmax,encode_ms,formula_peak_rss_mb,queries_issued,queries_skipped_witness,queries_skipped_separation,sat,unsat,unknown,solve_ms_total,solve_ms_max,solve_ms_median,per_query_timeout_ms,workers,straggler_ratio,witnesses_verified,witnesses_rejected,recovered_orbits,true_orbits,gt_source,status,total_ms,peak_rss_mb,wl1_original,pi_subdivision,pi_to_original,colouring_used,subdivided,subdivision_mode,n_solved,filter_mode,global_edge_clause_estimate,per_query_edge_clause_estimate,solver,gadget_xor_clusters
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0576-03-2,576,1152,PI_DIST,1,42,192,192,4,3.00,139,1920,1152,4608,0,8,6,84,337.2,672,672,,0,672,0,56,,,10000,1,,0,0,576,,,CERTIFIED,279,337.2,,,,PI,false,AUTO,576,GLOBAL,4608,,CRYPTOMINISAT_XOR,91
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0576-04-1,576,1152,PI_DIST,1,42,192,192,4,3.00,131,1920,1152,4608,0,8,6,84,337.2,672,672,,0,672,0,55,,,10000,1,,0,0,576,,,CERTIFIED,270,337.2,,,,PI,false,AUTO,576,GLOBAL,4608,,CRYPTOMINISAT_XOR,91
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0576-04-2,576,1152,PI_DIST,1,42,192,192,4,3.00,144,1920,1152,4608,0,8,6,81,337.2,672,672,,0,672,0,54,,,10000,1,,0,0,576,,,CERTIFIED,279,337.2,,,,PI,false,AUTO,576,GLOBAL,4608,,CRYPTOMINISAT_XOR,91
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0648-01-1,648,1296,PI_DIST,1,42,216,216,4,3.00,181,2160,1296,5184,0,8,6,97,337.3,756,756,,0,756,0,70,,,10000,1,,0,0,648,,,CERTIFIED,348,337.3,,,,PI,false,AUTO,648,GLOBAL,5184,,CRYPTOMINISAT_XOR,107
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0648-01-2,648,1296,PI_DIST,1,42,216,216,4,3.00,166,2160,1296,5184,0,8,6,96,337.3,756,756,,0,756,0,58,,,10000,1,,0,0,648,,,CERTIFIED,320,337.3,,,,PI,false,AUTO,648,GLOBAL,5184,,CRYPTOMINISAT_XOR,107
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0648-02-1,648,1296,PI_DIST,1,42,216,216,4,3.00,169,2160,1296,5184,0,8,6,93,338.9,756,756,,0,756,0,63,,,10000,1,,0,0,648,,,CERTIFIED,325,338.9,,,,PI,false,AUTO,648,GLOBAL,5184,,CRYPTOMINISAT_XOR,103
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0648-02-2,648,1296,PI_DIST,1,42,216,216,4,3.00,168,2160,1296,5184,0,8,6,92,338.9,756,756,,0,756,0,63,,,10000,1,,0,0,648,,,CERTIFIED,323,338.9,,,,PI,false,AUTO,648,GLOBAL,5184,,CRYPTOMINISAT_XOR,103
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0648-03-1,648,1296,PI_DIST,1,42,216,216,4,3.00,235,2160,1296,5184,0,8,6,98,338.9,756,756,,0,756,0,60,,,10000,1,,0,0,648,,,CERTIFIED,393,338.9,,,,PI,false,AUTO,648,GLOBAL,5184,,CRYPTOMINISAT_XOR,107
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0648-03-2,648,1296,PI_DIST,1,42,216,216,4,3.00,174,2160,1296,5184,0,8,6,97,338.9,756,756,,0,756,0,61,,,10000,1,,0,0,648,,,CERTIFIED,332,338.9,,,,PI,false,AUTO,648,GLOBAL,5184,,CRYPTOMINISAT_XOR,107
cfi-rigid-r2,graphs/cfi-rigid-r2/cfi-rigid-r2-0648-04-1,648,1296,PI_DIST,1,42,214,214,8,3.03,169,2200,1296,5440,0,8,6,92,338.9,747,805,,1,746,0,93,,,10000,1,,1,0,641,,,CERTIFIED,354,338.9,,,,PI,false,AUTO,648,GLOBAL,5440,,CRYPTOMINISAT_XOR,98
